fecha,temperatura_media_C,precipitacion_mm,humedad_relativa_%,velocidad_viento_km_h
2018-02-01,25.81,84.11,75.0,9.58
2018-03-01,21.91,158.91,69.2,7.68
2018-04-01,17.71,83.38,62.7,8.05
2018-05-01,13.62,107.07,54.43,8.3
2018-06-01,10.12,39.22,45.41,7.39
2018-07-01,9.74,50.16,42.27,7.13
2018-08-01,11.62,67.44,44.31,9.42
2018-09-01,14.53,74.9,56.0,8.05
2018-10-01,17.91,44.7,61.81,8.31
2018-11-01,21.89,131.57,68.25,8.55
2018-12-01,24.56,101.52,74.9,8.54
2019-01-01,25.67,96.69,77.14,9.26
2019-02-01,23.4,136.75,72.05,7.2
2019-03-01,22.34,101.29,67.44,8.38
2019-04-01,18.61,58.23,59.12,8.64
2019-05-01,13.45,71.81,50.57,7.89
2019-06-01,11.68,72.55,48.52,6.89
2019-07-01,10.91,17.42,45.19,7.78
2019-08-01,10.98,92.75,46.36,8.97
2019-09-01,14.21,52.47,52.14,9.57
2019-10-01,17.89,85.24,59.47,9.03
2019-11-01,22.0,128.59,68.41,8.78
2019-12-01,25.07,74.4,72.74,7.17
2020-01-01,25.95,56.46,78.61,8.36
2020-02-01,25.27,151.62,73.39,8.1
2020-03-01,21.91,133.38,70.81,7.37
2020-04-01,18.0,84.72,58.23,8.0
2020-05-01,13.8,87.68,53.46,8.3
2020-06-01,11.07,69.68,46.34,8.72
2020-07-01,9.2,72.67,48.4,7.73
2020-08-01,10.44,104.52,48.03,8.45
2020-09-01,14.49,77.98,53.12,8.89
2020-10-01,18.41,53.36,59.05,7.7
2020-11-01,21.0,52.61,66.58,8.73
2020-12-01,25.91,196.79,73.29,8.17
2021-01-01,26.15,138.78,76.73,6.56
2021-02-01,25.34,52.78,72.41,8.74
2021-03-01,21.84,120.9,71.6,7.65
2021-04-01,18.8,108.69,58.89,7.75
2021-05-01,13.83,55.82,52.32,8.06
2021-06-01,11.28,50.32,46.05,8.55
2021-07-01,10.59,49.69,45.56,8.06
2021-08-01,11.02,37.86,51.73,7.55
2021-09-01,12.96,41.3,50.15,8.65
2021-10-01,17.41,81.85,57.9,8.18
2021-11-01,21.62,107.47,68.6,7.41
2021-12-01,25.91,81.65,74.33,8.48
2022-01-01,25.51,133.13,75.82,8.36
2022-02-01,25.16,135.65,73.32,8.52
2022-03-01,22.13,97.95,65.61,9.16
2022-04-01,17.43,94.13,59.04,7.7
2022-05-01,15.37,59.83,54.08,6.98
2022-06-01,11.54,70.05,50.3,7.69
2022-07-01,10.7,106.87,47.45,7.86
2022-08-01,11.43,40.63,47.33,8.66
2022-09-01,14.08,51.46,48.97,8.67
2022-10-01,18.28,53.76,56.27,8.87
2022-11-01,21.59,74.21,65.82,8.64
2022-12-01,24.63,79.13,71.27,6.9
2023-01-01,26.06,57.87,72.66,8.37
2023-02-01,25.05,82.64,70.08,7.46
2023-03-01,22.67,151.44,64.42,8.77
2023-04-01,18.01,96.13,58.16,9.22
2023-05-01,13.97,130.64,51.71,9.18
2023-06-01,12.06,87.99,48.62,8.52
2023-07-01,10.09,37.07,44.41,8.85
2023-08-01,10.98,96.58,48.45,6.96
2023-09-01,12.82,52.29,52.87,6.96
2023-10-01,18.87,52.54,61.11,7.42
2023-11-01,21.65,72.27,68.39,9.63
2023-12-01,23.82,209.2,70.66,8.78
2024-01-01,25.52,124.05,69.85,5.96
2024-02-01,25.09,183.69,75.08,7.49
2024-03-01,21.23,83.75,63.01,6.99
2024-04-01,18.98,60.0,61.91,8.58
2024-05-01,14.23,22.23,55.36,8.5
2024-06-01,11.88,59.99,46.55,6.71
2024-07-01,9.16,106.84,45.24,8.43
2024-08-01,10.77,79.42,47.3,8.02
2024-09-01,14.45,103.56,51.02,8.91
2024-10-01,18.12,68.97,59.85,8.36
2024-11-01,21.74,60.02,67.61,7.63
2024-12-01,24.4,86.66,74.82,7.36
2025-01-01,25.44,86.02,71.65,7.88
2025-02-01,25.06,103.7,74.58,8.66
2025-03-01,22.76,109.27,66.0,8.71
2025-04-01,17.22,95.76,58.23,7.8
2025-05-01,13.98,45.41,52.47,9.07
2025-06-01,10.69,90.95,49.34,8.73
2025-07-01,9.81,30.76,47.94,8.58
